Name,Team,Position,Year,Level,Age,FV,IDfg,Hit,Game,Raw,Spd,FB,SL,CMD,CB,CH,2022_Composite,2022_Rank,2022_Value,2023_Composite,2023_Rank,2023_Value,2024_Composite,2024_Rank,2024_Value,2025_Composite,2025_Rank,2025_Value,has_mlb
Parker Meadows,DET,CF,2023,MLB,23.7416666,45,23800,30 / 40,30 / 50,50 / 60,60 / 60,,,,,,,,,243.25,233.0,17340000.0,,,,,,,True
Jorge Barrosa,ARI,CF,2023,MLB,22.45,45,23968,35 / 60,20 / 30,30 / 35,55 / 55,,,,,,,,,273.0,488.0,12239999.999999998,,,,,,,False
Osleivis Basabe,TBR,2B,2023,MLB,22.8777777,45,23985,55 / 60,20 / 30,40 / 40,50 / 50,,,,,,,,,277.5,254.0,16920000.0,,,,,,,False
Curtis Mead,TBR,LF,2023,MLB,22.7583333,55,23986,45 / 55,50 / 60,55 / 60,40 / 40,,,,,,,,,28.08333333333333,21.0,61500000.00000001,,,,,,,True
Ezequiel Tovar,COL,SS,2023,MLB,21.9944444,50,24064,50 / 60,30 / 40,40 / 45,45 / 45,,,,,,,,,20.416666666666668,17.0,45980000.00000001,,,,,,,True
Jhonkensy Noel,CLE,1B,2023,MLB,22.0388888,40+,24257,30 / 40,50 / 60,70 / 80,30 / 20,,,,,,,,,162.6,155.0,7087500.0,,,,,,,False
Ceddanne Rafaela,BOS,CF,2023,MLB,22.8638888,50,24262,30 / 40,35 / 50,45 / 50,60 / 60,,,,,,,,,63.91666666666666,59.0,36739999.99999999,,,,,,,True
Liover Peguero,PIT,2B,2023,MLB,22.5805555,45+,24273,35 / 50,40 / 50,50 / 55,60 / 60,,,,,,,,,218.5,218.0,17640000.0,,,,,,,False
Johan Rojas,PHI,CF,2023,MLB,22.9583333,45+,24336,45 / 50,30 / 35,55 / 60,70 / 70,,,,,,,,,346.3333333333333,322.0,15560000.0,,,,,,,True
Travis Swaggerty,PIT,CF,2023,MLB,25.9444444,40,24491,40 / 40,40 / 40,55 / 55,60 / 60,,,,,,,,,329.6666666666667,313.0,5902500.0,,,,,,,False
Jonathan Ornelas,TEX,SS,2023,MLB,23.175,40,24597,45 / 50,30 / 35,45 / 45,60 / 60,,,,,,,,,327.0,535.0,4500000.0,,,,,,,False
Addison Barger,TOR,2B,2023,MLB,23.7138888,50,24598,40 / 45,50 / 60,60 / 60,40 / 40,,,,,,,,,112.0,116.0,27060000.0,,,,,,,True
Logan O'Hoppe,LAA,C,2023,MLB,23.4722222,50,24729,45 / 55,30 / 40,50 / 50,30 / 30,,,,,,,,,63.583333333333336,54.0,37840000.0,,,,,,,True
James Outman,LAD,RF,2023,MLB,26.2083333,40,24770,30 / 40,40 / 50,55 / 55,60 / 60,,,,,,,,,144.85714285714286,139.0,7207500.0,,,,,,,True
Andy Pages,LAD,RF,2023,MLB,22.6416666,50,24816,30 / 40,50 / 60,60 / 60,45 / 45,,,,,,,,,87.63636363636364,77.0,32780000.0,,,,,,,True
Endy Rodriguez,PIT,C,2023,MLB,23.2305555,55,25332,55 / 60,30 / 45,40 / 40,55 / 55,,,,,,,,,38.41666666666666,33.0,57900000.0,,,,,,,False
Greg Jones,TBR,SS,2023,MLB,25.3944444,40+,25448,20 / 30,30 / 45,55 / 55,80 / 80,,,,,,,,,415.0,412.0,5160000.0,,,,,,,False
Brenton Doyle,COL,CF,2023,MLB,25.2083333,40,25479,20 / 30,30 / 40,60 / 60,60 / 60,,,,,,,,,381.0,342.0,5685000.0,,,,,,,True
Joey Ortiz,BAL,SS,2023,MLB,25.0416666,50,25493,50 / 60,30 / 35,40 / 40,55 / 55,,,,,,,,,153.8,241.0,23622500.0,,,,,,,True
Cade Marlowe,SEA,CF,2023,MLB,26.0972222,35+,25505,35 / 40,40 / 45,50 / 50,55 / 55,,,,,,,,,199.6,193.0,2267500.0,,,,,,,False
Korey Lee,HOU,C,2023,MLB,25.0111111,50,25543,30 / 30,30 / 45,55 / 55,50 / 50,,,,,,,,,388.5,398.0,19305000.0,,,,,,,False
Jake Alu,WSN,3B,2023,,26.3138888,40,25569,50 / 55,35 / 40,45 / 45,40 / 40,,,,,,,,,361.5,376.0,5430000.0,,,,,,,False
Marco Luciano,SFG,RF,2023,MLB,21.8055555,50,25616,30 / 45,30 / 60,60 / 70,45 / 40,,,,,,,,,41.833333333333336,35.0,42020000.0,,,,,,,False
Bryan Ramos,CHW,3B,2023,MLB,21.3805555,50,25621,35 / 50,35 / 55,55 / 60,55 / 55,,,,,,,,,161.83333333333334,164.0,25740000.0,,,,,,,False
Will Brennan,CLE,CF,2023,MLB,25.4916666,45,25660,55 / 55,30 / 30,35 / 35,55 / 55,,,,,,,,,120.66666666666669,124.0,19520000.0,,,,,,,False
Grant McCray,SFG,CF,2023,MLB,22.6444444,40+,25690,30 / 35,35 / 45,45 / 55,60 / 60,,,,,,,,,183.25,198.0,6765000.0,,,,,,,False
Dustin Harris,TEX,LF,2023,MLB,24.0583333,40+,25705,50 / 55,40 / 45,40 / 50,50 / 50,,,,,,,,,79.25,92.0,8040000.000000001,,,,,,,False
Michael Toglia,COL,1B,2023,MLB,24.9527777,35+,25845,30 / 35,45 / 50,60 / 60,30 / 30,,,,,,,,,189.5,203.0,2242500.0,,,,,,,False
Ryan Kreidler,DET,SS,2023,MLB,25.7138888,40,25867,30 / 30,40 / 40,50 / 50,40 / 40,,,,,,,,,279.0,428.0,5039999.999999999,,,,,,,False
Corbin Carroll,ARI,LF,2023,MLB,22.9388888,65,25878,55 / 70,50 / 60,50 / 55,80 / 80,,,,,,,,,1.8333333333333333,2.0,89600000.0,,,,,,,True
Orelvis Martinez,TOR,3B,2023,MLB,21.6944444,45,25967,30 / 40,35 / 60,50 / 60,45 / 40,,,,,,,,,170.5,157.0,18860000.0,,,,,,,False
Kevin Alcantara,CHC,CF,2023,MLB,21.0472222,50,25971,30 / 35,20 / 60,55 / 70,55 / 50,,,,,,,,,61.90909090909091,64.0,35640000.0,,,,,,,False
Francisco Alvarez,NYM,C,2023,MLB,21.6944444,60,26121,40 / 40,50 / 60,70 / 70,40 / 30,,,,,,,,,14.0,12.0,68480000.0,,,,,,,True
Brett Baty,NYM,3B,2023,MLB,23.7111111,55,26123,45 / 50,50 / 60,70 / 70,45 / 45,,,,,,,,,32.416666666666664,24.0,60600000.00000001,,,,,,,True
Darell Hernaiz,OAK,SS,2023,MLB,21.9888888,40+,26224,40 / 50,35 / 45,45 / 55,50 / 45,,,,,,,,,346.6666666666667,324.0,5820000.0,,,,,,,True
Gunnar Henderson,BAL,SS,2023,MLB,22.0833333,65,26289,45 / 50,55 / 70,65 / 70,60 / 55,,,,,,,,,1.5833333333333333,1.0,90000000.0,,,,,,,True
Josh Jung,TEX,3B,2023,MLB,25.4638888,55,26299,45 / 50,50 / 60,60 / 60,40 / 40,,,,,,,,,32.0,28.0,59400000.0,,,,,,,True
Michael Busch,LAD,DH,2023,MLB,25.7222222,50,26319,50 / 55,50 / 60,60 / 60,45 / 45,,,,,,,,,71.81818181818181,70.0,34320000.0,,,,,,,True
Spencer Steer,CIN,3B,2023,MLB,25.6444444,50,26323,50 / 60,45 / 50,50 / 50,40 / 40,,,,,,,,,106.28571428571428,115.0,27087500.0,,,,,,,True
Jonny DeLuca,LAD,CF,2023,MLB,25.0527777,40,26365,40 / 45,40 / 45,50 / 50,55 / 55,,,,,,,,,400.5,407.0,5197500.0,,,,,,,False
Kameron Misner,TBR,CF,2023,MLB,25.5583333,40+,26374,30 / 30,50 / 55,60 / 60,55 / 55,,,,,,,,,396.6666666666667,350.0,5625000.0,,,,,,,True
Kyren Paris,LAA,SS,2023,MLB,21.7166666,40,26420,30 / 30,30 / 40,45 / 50,60 / 60,,,,,,,,,244.3333333333333,253.0,6352500.0,,,,,,,True
Matt Wallner,MIN,RF,2023,MLB,25.6305555,45,26466,30 / 35,50 / 60,70 / 70,40 / 40,,,,,,,,,225.6,212.0,17760000.0,,,,,,,True
Luis Matos,SFG,CF,2023,MLB,21.5027777,55,26467,55 / 70,30 / 40,40 / 45,50 / 50,,,,,,,,,89.57142857142857,105.0,37312500.0,,,,,,,True
Spencer Horwitz,TOR,1B,2023,MLB,25.7083333,35+,26477,45 / 50,45 / 50,45 / 45,40 / 40,,,,,,,,,349.0,371.0,1822500.0,,,,,,,True
Noelvi Marte,CIN,3B,2023,MLB,21.7861111,50,26517,35 / 50,30 / 50,60 / 65,40 / 40,,,,,,,,,30.666666666666668,26.0,44000000.0,,,,,,,True
Angel Martinez,CLE,SS,2023,MLB,21.5194444,45,26540,40 / 50,30 / 40,40 / 45,55 / 55,,,,,,,,,160.83333333333334,150.0,19000000.0,,,,,,,True
Luisangel Acuna,TEX,SS,2023,MLB,21.3805555,50,26548,35 / 45,30 / 50,50 / 55,60 / 60,,,,,,,,,75.22222222222223,85.0,31020000.000000004,,,,,,,True
Jonatan Clase,SEA,CF,2023,MLB,21.1833333,45,26599,30 / 35,40 / 45,45 / 50,80 / 80,,,,,,,,,166.5,186.0,18280000.0,,,,,,,True
Elly De La Cruz,CIN,SS,2023,MLB,21.55,60,26668,30 / 40,45 / 70,60 / 70,80 / 70,,,,,,,,,5.666666666666667,5.0,70720000.0,,,,,,,True
Austin Martin,MIN,LF,2023,MLB,24.35,45,27462,50 / 60,30 / 35,45 / 45,50 / 50,,,,,,,,,190.5,181.0,18380000.0,,,,,,,True
Dillon Dingler,DET,C,2023,MLB,24.8666666,45,27464,30 / 30,30 / 40,50 / 50,45 / 45,,,,,,,,,385.0,397.0,14060000.0,,,,,,,True
Tyler Soderstrom,OAK,1B,2023,MLB,21.6805555,55,27467,40 / 45,60 / 70,60 / 70,40 / 30,,,,,,,,,51.5,45.0,54300000.0,,,,,,,True
Jordan Walker,STL,RF,2023,MLB,21.1861111,60,27475,40 / 45,55 / 80,70 / 80,50 / 40,,,,,,,,,4.25,3.0,71360000.0,,,,,,,True
Masyn Winn,STL,SS,2023,MLB,21.3555555,50,27479,40 / 55,30 / 40,45 / 50,60 / 60,,,,,,,,,43.333333333333336,39.0,41140000.0,,,,,,,True
Nick Gonzales,PIT,2B,2023,MLB,24.1722222,40,27490,30 / 35,45 / 50,55 / 55,60 / 60,,,,,,,,,111.83333333333331,123.0,7327500.0,,,,,,,True
Justin Foscue,TEX,2B,2023,MLB,24.4083333,50,27501,70 / 70,35 / 40,45 / 45,30 / 30,,,,,,,,,143.85714285714286,144.0,26290000.0,,,,,,,False
Nick Yorke,BOS,2B,2023,MLB,21.325,50,27504,40 / 50,40 / 55,55 / 55,45 / 45,,,,,,,,,110.42857142857144,117.0,27032500.0,,,,,,,False
Edouard Julien,MIN,2B,2023,MLB,24.2472222,50,27534,35 / 40,50 / 60,60 / 60,40 / 40,,,,,,,,,88.6,91.0,29700000.000000004,,,,,,,True
Garrett Mitchell,MIL,CF,2023,MLB,24.9027777,45,27555,40 / 45,30 / 40,55 / 55,70 / 70,,,,,,,,,110.125,110.0,19800000.0,,,,,,,False
Austin Wells,NYY,LF,2023,MLB,24.0472222,40+,27562,40 / 45,45 / 55,55 / 55,30 / 30,,,,,,,,,62.5,83.0,8580000.0,,,,,,,True
Casey Schmitt,SFG,3B,2023,MLB,24.4111111,45,27577,30 / 40,40 / 45,50 / 50,40 / 40,,,,,,,,,220.2,243.0,17140000.0,,,,,,,True
Alec Burleson,STL,RF,2023,MLB,24.6777777,40+,27615,55 / 55,45 / 45,55 / 55,30 / 30,,,,,,,,,113.42857142857144,126.0,7305000.0,,,,,,,True
Nick Loftin,KCR,2B,2023,MLB,24.8444444,45,27630,50 / 60,30 / 40,45 / 45,55 / 55,,,,,,,,,325.3333333333333,311.0,15779999.999999998,,,,,,,True
Anthony Volpe,NYY,2B,2023,MLB,22.2527777,60,27647,45 / 55,45 / 60,55 / 55,45 / 40,,,,,,,,,5.666666666666667,6.0,70400000.0,,,,,,,True
Joey Wiemer,MIL,RF,2023,MLB,24.4666666,50,27690,30 / 35,50 / 60,70 / 70,70 / 70,,,,,,,,,71.8,79.0,32340000.0,,,,,,,False
Drew Romo,COL,C,2023,MLB,21.9166666,40+,27763,45 / 55,30 / 35,30 / 35,45 / 45,,,,,,,,,204.0,210.0,6675000.0,,,,,,,False
Pete Crow-Armstrong,CHC,CF,2023,MLB,21.3444444,55,27769,35 / 40,35 / 45,50 / 55,60 / 60,,,,,,,,,25.5,19.0,62100000.00000001,,,,,,,True
Pedro Leon,HOU,CF,2023,MLB,25.1694444,40,27781,30 / 30,40 / 45,55 / 55,55 / 55,,,,,,,,,108.6,127.0,7297500.0,,,,,,,False
Tyler Gentry,KCR,RF,2023,MLB,24.4944444,40+,27784,35 / 45,35 / 50,50 / 50,50 / 50,,,,,,,,,172.14285714285714,159.0,7057500.0,,,,,,,False
Evan Carter,TEX,CF,2023,MLB,20.9166666,50,27790,45 / 55,35 / 45,45 / 50,60 / 60,,,,,,,,,35.75,30.0,43120000.0,,,,,,,True
Jordan Westburg,BAL,2B,2023,MLB,24.4472222,45,27815,35 / 40,45 / 55,55 / 55,50 / 50,,,,,,,,,73.63636363636364,72.0,24640000.0,,,,,,,True
Matt Mervis,CHC,1B,2023,MLB,25.2861111,35+,27845,30 / 30,50 / 50,60 / 60,30 / 30,,,,,,,,,80.22222222222223,88.0,2760000.0,,,,,,,False
Thomas Saggese,TEX,3B,2023,MLB,21.3,40+,27883,45 / 55,35 / 45,45 / 50,45 / 40,,,,,,,,,277.5,266.0,6255000.0,,,,,,,True
Colt Keith,DET,1B,2023,MLB,21.9583333,50,27899,45 / 50,45 / 60,55 / 60,30 / 30,,,,,,,,,103.88888888888889,100.0,27720000.0,,,,,,,True
Adael Amador,COL,2B,2023,MLB,20.3,60,27962,35 / 70,30 / 40,40 / 45,50 / 50,,,,,,,,,64.5,62.0,52480000.0,,,,,,,True
Jasson Dominguez,NYY,CF,2023,MLB,20.4777777,50,28080,30 / 40,30 / 60,60 / 65,60 / 55,,,,,,,,,32.0,27.0,43780000.0,,,,,,,True
Junior Caminero,TBR,3B,2023,MLB,20.0666666,55,28163,30 / 45,20 / 65,60 / 70,50 / 50,,,,,,,,,83.11111111111111,86.0,42000000.00000001,,,,,,,True
Coby Mayo,BAL,RF,2023,MLB,21.6361111,55,28312,40 / 55,50 / 60,60 / 70,55 / 40,,,,,,,,,66.66666666666667,78.0,44400000.00000001,,,,,,,True
Jackson Chourio,MIL,CF,2023,MLB,19.3833333,60,28806,30 / 45,40 / 60,60 / 70,70 / 70,,,,,,,,,6.25,4.0,71040000.0,,,,,,,True
Jackson Merrill,SDP,SS,2023,MLB,20.2777777,60,29490,35 / 70,30 / 40,40 / 45,50 / 50,,,,,,,,,48.91666666666666,42.0,58880000.0,,,,,,,True
James Wood,WSN,CF,2023,MLB,20.8666666,60,29518,30 / 50,35 / 70,70 / 80,60 / 50,,,,,,,,,10.083333333333334,9.0,69440000.0,,,,,,,True
Trey Sweeney,NYY,SS,2023,MLB,23.2638888,45,29575,45 / 55,40 / 45,55 / 55,45 / 45,,,,,,,,,162.0,168.0,18640000.0,,,,,,,True
Colton Cowser,BAL,LF,2023,MLB,23.3583333,45,29591,40 / 45,40 / 50,45 / 50,55 / 55,,,,,,,,,33.81818181818182,46.0,28800000.0,,,,,,,True
Connor Norby,BAL,2B,2023,MLB,23.1416666,45,29592,35 / 40,45 / 55,45 / 50,50 / 50,,,,,,,,,67.8,75.0,24160000.0,,,,,,,True
Justyn-Henry Malloy,DET,3B,2023,MLB,23.4444444,40+,29606,40 / 45,45 / 50,60 / 60,40 / 40,,,,,,,,,213.6,205.0,6712500.0,,,,,,,True
Henry Davis,PIT,C,2023,MLB,23.8555555,55,29617,35 / 45,50 / 60,70 / 70,30 / 30,,,,,,,,,65.0,55.0,51299999.99999999,,,,,,,True
Sal Frelick,MIL,CF,2023,MLB,23.2777777,50,29622,55 / 60,30 / 35,45 / 45,60 / 60,,,,,,,,,49.16666666666666,43.0,40260000.0,,,,,,,True
Will Wagner,HOU,3B,2023,MLB,25.0,35+,29634,50 / 55,30 / 35,40 / 40,45 / 45,,,,,,,,,234.0,419.0,1702500.0000000002,,,,,,,True
Matt McLain,CIN,SS,2023,MLB,23.9805555,50,29695,40 / 45,45 / 50,50 / 50,60 / 60,,,,,,,,,155.83333333333334,148.0,26180000.0,,,,,,,True
Hunter Goodman,COL,C,2023,MLB,23.8083333,40+,29715,30 / 35,45 / 60,70 / 70,30 / 30,,,,,,,,,246.25,237.0,6472500.0,,,,,,,True
Zack Gelof,OAK,2B,2023,MLB,23.7777777,45+,29766,40 / 45,45 / 50,50 / 50,55 / 50,,,,,,,,,119.8,137.0,19260000.0,,,,,,,True
Kyle Manzardo,TBR,1B,2023,MLB,23.0305555,50,29794,55 / 70,40 / 50,40 / 45,40 / 40,,,,,,,,,40.41666666666666,40.0,40920000.0,,,,,,,True
Tyler Black,MIL,CF,2023,MLB,23.0083333,40+,29949,35 / 60,30 / 35,45 / 45,60 / 60,,,,,,,,,309.3333333333333,284.0,6120000.0,,,,,,,False
Jordan Lawlar,ARI,SS,2023,MLB,21.0333333,55,29976,35 / 40,45 / 55,55 / 60,60 / 60,,,,,,,,,9.333333333333334,7.0,65700000.0,,,,,,,False
Christian Encarnacion-Strand,CIN,3B,2023,MLB,23.6611111,40+,30011,30 / 35,50 / 60,70 / 70,40 / 40,,,,,,,,,74.0,93.0,7980000.0,,,,,,,True
Oscar Colas,CHW,RF,2023,MLB,24.8666666,45,30162,30 / 40,45 / 55,60 / 60,40 / 40,,,,,,,,,72.45454545454545,74.0,24320000.0,,,,,,,False
Heston Kjerstad,BAL,RF,2023,MLB,24.4638888,45+,31166,40 / 50,45 / 55,60 / 60,40 / 40,,,,,,,,,128.71428571428572,133.0,19340000.0,,,,,,,True
Zach Neto,LAA,SS,2023,MLB,22.4972222,50,31347,50 / 55,40 / 50,50 / 50,55 / 55,,,,,,,,,72.83333333333333,65.0,35420000.0,,,,,,,True
Tyler Locklear,SEA,1B,2023,MLB,22.6805555,40+,31396,30 / 45,30 / 55,65 / 65,30 / 30,,,,,,,,,260.0,315.0,5887500.0,,,,,,,True
Jordan Beck,COL,RF,2023,MLB,22.2777777,40+,31431,30 / 40,35 / 50,55 / 60,50 / 50,,,,,,,,,202.6,195.0,6787500.0,,,,,,,True
Jace Jung,DET,2B,2023,MLB,22.8194444,45+,31437,35 / 50,35 / 55,55 / 55,35 / 35,,,,,,,,,103.5,94.0,21120000.0,,,,,,,False
Brooks Lee,MIN,SS,2023,MLB,22.4583333,55,31595,50 / 60,40 / 50,55 / 55,40 / 40,,,,,,,,,56.16666666666666,49.0,53100000.0,,,,,,,True
Jackson Holliday,BAL,SS,2023,MLB,19.6527777,60,31781,25 / 60,25 / 60,50 / 60,50 / 50,,,,,,,,,14.166666666666666,14.0,67840000.0,,,,,,,True
Masataka Yoshida,BOS,LF,2023,MLB,30.0388888,45+,31837,70 / 70,35 / 40,45 / 45,45 / 45,,,,,,,,,117.125,113.0,19740000.0,,,,,,,True
Yunior Severino,MIN,3B,2023,AAA,23.8222222,35+,sa3003185,30 / 30,50 / 50,60 / 60,50 / 50,,,,,,,,,360.0,558.0,1500000.0,,,,,,,False
Luis Mieses,CHW,LF,2023,AA,23.1638888,35+,sa3003274,40 / 55,40 / 45,50 / 55,40 / 40,,,,,,,,,391.0,572.0,1500000.0,,,,,,,False
Allan Cerda,CIN,RF,2023,AAA,23.6805555,35+,sa3005504,20 / 30,35 / 55,60 / 70,50 / 50,,,,,,,,,325.0,361.0,1847500.0,,,,,,,False
Jorbit Vivas,LAD,2B,2023,AAA,22.3888888,45,sa3005511,50 / 60,30 / 35,35 / 35,45 / 45,,,,,,,,,321.0,310.0,15800000.0,,,,,,,False
Heriberto Hernandez,TBR,LF,2023,AAA,23.6194444,40+,sa3005630,30 / 35,50 / 55,60 / 60,30 / 30,,,,,,,,,338.3333333333333,318.0,5865000.0,,,,,,,False
Anthony Garcia,NYY,RF,2023,,22.9,35+,sa3005924,20 / 30,35 / 60,70 / 80,40 / 30,,,,,,,,,353.0,425.0,1687500.0,,,,,,,False
George Valera,CLE,RF,2023,AAA,22.7111111,45,sa3006872,30 / 35,45 / 55,55 / 60,50 / 50,,,,,,,,,58.45454545454545,60.0,26560000.0,,,,,,,False
Carlos De La Cruz,PHI,RF,2023,AAA,23.8138888,40+,sa3006903,30 / 35,35 / 60,70 / 80,55 / 50,,,,,,,,,346.0,550.0,4500000.0,,,,,,,False
Wilderd Patino,ARI,CF,2023,,22.0305555,40,sa3007874,30 / 30,30 / 40,50 / 50,60 / 60,,,,,,,,,363.3333333333333,333.0,5752500.0,,,,,,,False
Brennen Davis,CHC,RF,2023,AAA,23.7416666,35+,sa3007876,30 / 30,40 / 55,60 / 60,40 / 40,,,,,,,,,77.1,73.0,3060000.0,,,,,,,False
Malcom Nunez,PIT,1B,2023,AAA,22.3888888,40,sa3008113,40 / 45,50 / 55,60 / 60,20 / 20,,,,,,,,,298.0,292.0,6060000.0,,,,,,,False
Diego Cartaya,LAD,C,2023,AAA,21.8944444,55,sa3008742,30 / 45,35 / 60,55 / 60,40 / 30,,,,,,,,,38.333333333333336,29.0,59100000.0,,,,,,,False
Eduardo Garcia,MIL,SS,2023,A+,21.0527777,40,sa3008751,30 / 35,30 / 45,45 / 55,40 / 40,,,,,,,,,347.0,553.0,4500000.0,,,,,,,False
Warming Bernabel,COL,3B,2023,AA,21.1472222,40+,sa3008761,35 / 50,35 / 50,45 / 55,40 / 40,,,,,,,,,118.83333333333331,138.0,7215000.0,,,,,,,False
Brainer Bonaci,BOS,2B,2023,,21.0555555,40,sa3008836,35 / 50,30 / 40,45 / 45,40 / 30,,,,,,,,,444.0,490.0,4575000.0,,,,,,,False
Alex De Jesus,TOR,3B,2023,AA,21.3527777,40,sa3008842,30 / 35,35 / 55,55 / 60,40 / 40,,,,,,,,,365.0,561.0,4500000.0,,,,,,,False
Jose Ramos,LAD,RF,2023,AA,22.5777777,40+,sa3008845,30 / 40,45 / 55,60 / 60,45 / 40,,,,,,,,,262.0,247.0,6397500.0,,,,,,,False
Gabriel Martinez,TOR,RF,2023,AA,22.0138888,40+,sa3008865,35 / 55,30 / 45,40 / 50,45 / 40,,,,,,,,,235.0,219.0,6607500.0,,,,,,,False
Eddinson Paulino,BOS,3B,2023,AA,21.075,40+,sa3009538,35 / 45,30 / 50,45 / 55,40 / 40,,,,,,,,,244.6,222.0,6585000.0,,,,,,,False
Nelson Quiroz,LAD,C,2023,A+,21.7333333,35+,sa3009565,35 / 50,20 / 30,30 / 35,30 / 30,,,,,,,,,456.0,498.0,1505000.0,,,,,,,False
Juan Brito,CLE,2B,2023,AAA,21.8472222,45,sa3009808,35 / 60,30 / 40,40 / 45,35 / 35,,,,,,,,,373.6666666666667,338.0,15240000.0,,,,,,,False
Jairo Pomares,SFG,LF,2023,AA,22.9861111,40,sa3010023,20 / 30,35 / 50,55 / 60,50 / 50,,,,,,,,,317.6666666666667,275.0,6187500.0,,,,,,,False
Colin Barber,HOU,RF,2023,AA,22.6527777,40,sa3010696,45 / 55,30 / 40,45 / 50,50 / 50,,,,,,,,,308.6666666666667,301.0,5992499.999999999,,,,,,,False
Jeremy De La Rosa,WSN,RF,2023,AA,21.5361111,35+,sa3011329,20 / 30,30 / 50,55 / 60,60 / 60,,,,,,,,,271.5,262.0,2095000.0,,,,,,,False
Willy Vasquez,TBR,CF,2023,AA,21.8972222,40+,sa3011821,30 / 45,30 / 50,55 / 60,55 / 50,,,,,,,,,318.6666666666667,306.0,5955000.0,,,,,,,False
Hudson Haskin,BAL,CF,2023,AAA,24.5805555,40,sa3014449,35 / 50,30 / 40,45 / 45,60 / 60,,,,,,,,,346.6666666666667,324.0,5820000.0,,,,,,,False
Owen Caissie,CHC,RF,2023,AAA,21.0583333,45,sa3014465,30 / 30,55 / 65,70 / 80,40 / 30,,,,,,,,,164.5,172.0,18560000.0,,,,,,,False
Werner Blakely,LAA,3B,2023,A+,21.4388888,35+,sa3014502,20 / 30,30 / 40,45 / 55,45 / 45,,,,,,,,,278.75,257.0,2107500.0,,,,,,,False
Zac Veen,COL,RF,2023,AAA,21.6305555,40+,sa3014516,30 / 40,30 / 45,55 / 60,70 / 70,,,,,,,,,34.166666666666664,32.0,11640000.0,,,,,,,False
Austin Hendrick,CIN,RF,2023,AA,22.1222222,35+,sa3014521,20 / 30,25 / 55,60 / 60,50 / 45,,,,,,,,,440.0,429.0,1677500.0,,,,,,,False
A.J. Vukovich,ARI,CF,2023,AAA,22.025,40,sa3014525,30 / 40,40 / 50,55 / 60,50 / 50,,,,,,,,,277.3333333333333,272.0,6210000.000000001,,,,,,,False
Blaze Jordan,BOS,1B,2023,AA,20.6111111,40,sa3014537,35 / 50,35 / 55,55 / 60,30 / 30,,,,,,,,,122.5,129.0,7282500.0,,,,,,,False
Kevin Made,CHC,SS,2023,AA,20.8861111,40+,sa3014679,30 / 45,30 / 45,40 / 50,55 / 55,,,,,,,,,397.5,402.0,5235000.0,,,,,,,False
Roberto Campos,DET,RF,2023,A+,20.125,40+,sa3014683,35 / 50,35 / 55,50 / 55,50 / 50,,,,,,,,,346.0,447.0,4897500.0,,,,,,,False
Jose Salas,MIN,2B,2023,A+,20.2583333,45,sa3014690,30 / 50,30 / 45,45 / 50,40 / 40,,,,,,,,,137.66666666666666,141.0,19180000.0,,,,,,,False
Ian Lewis,MIA,2B,2023,CPX,20.4861111,35+,sa3014691,30 / 35,30 / 50,45 / 60,70 / 70,,,,,,,,,245.66666666666663,255.0,2112500.0,,,,,,,False
Hedbert Perez,MIL,LF,2023,A+,20.3194444,35+,sa3014692,20 / 40,25 / 50,55 / 60,50 / 45,,,,,,,,,364.6666666666667,335.0,1912500.0,,,,,,,False
Emmanuel Rodriguez,MIN,CF,2023,AAA,20.4138888,45+,sa3014693,30 / 35,35 / 50,55 / 60,50 / 50,,,,,,,,,54.0,53.0,27680000.0,,,,,,,False
Alex Ramirez,NYM,CF,2023,AAA,20.5444444,50,sa3014695,30 / 40,35 / 60,55 / 70,60 / 60,,,,,,,,,94.4,87.0,30580000.000000004,,,,,,,False
Aeverson Arteaga,SFG,SS,2023,A+,20.3694444,45,sa3014707,30 / 40,25 / 45,40 / 50,55 / 55,,,,,,,,,242.0,231.0,17380000.0,,,,,,,False
Elijah Dunham,NYY,LF,2023,AA,25.1666666,40,sa3014827,40 / 45,40 / 50,55 / 55,45 / 45,,,,,,,,,336.0,415.0,5137500.0,,,,,,,False
Zach Daniels,HOU,RF,2023,AA,24.5166666,35+,sa3014935,20 / 30,45 / 50,70 / 70,60 / 60,,,,,,,,,275.0,489.0,1527500.0,,,,,,,False
Justin Dirden,HOU,RF,2023,,26.0361111,35+,sa3014986,30 / 35,45 / 50,50 / 50,50 / 50,,,,,,,,,340.0,445.0,1637500.0,,,,,,,False
Yoelqui Cespedes,CHW,CF,2023,ST,25.8472222,40,sa3015137,30 / 30,40 / 45,60 / 60,60 / 60,,,,,,,,,302.5,354.0,5595000.0,,,,,,,False
Deyvison De Los Santos,ARI,DH,2023,AAA,20.1055555,40+,sa3015168,20 / 30,25 / 60,70 / 70,40 / 30,,,,,,,,,116.6,134.0,7245000.0,,,,,,,False
Yeiner Fernandez,LAD,C,2023,AA,20.8611111,40+,sa3015182,30 / 55,30 / 35,30 / 40,50 / 50,,,,,,,,,421.0,479.0,4657500.0,,,,,,,False
Edgar Quero,LAA,C,2023,AAA,20.3138888,50,sa3015239,40 / 50,30 / 45,50 / 55,30 / 20,,,,,,,,,128.5,121.0,26922500.0,,,,,,,False
 Tsung-Che Cheng,PIT,SS,2023,AAA,22.0638888,35+,sa3015376,35 / 55,20 / 35,30 / 40,60 / 60,,,,,,,,,372.0,564.0,1500000.0,,,,,,,False
